0,76368,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
2,62494,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
6,98077,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
8,85882,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
10,59384,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
14,96361,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
15,67424,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe
16,93634,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
19,62756,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
20,99453,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
22,83685,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
26,63254,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
27,99972,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
29,93441,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
30,96242,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
32,98965,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
33,87899,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe
37,98561,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port 
40,95429,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
43,84716,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe
44,82044,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
45,71844,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
48,64102,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
50,69015,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port
51,77970,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port coppe
52,83041,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
53,91519,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
57,77745,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
58,65928,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
62,69493,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
65,92275,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
70,98585,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port
72,98034,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
81,85099,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
82,87505,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port
83,91700,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port
84,77402,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port 
